ID,UUID,Revision ID,Language,Content type,Revision create time,Revision user,Revision log message,Published,Authored by,Name,Authored on,Changed,Promoted to front page,Sticky at top of lists,Default translation,Default revision,Revision translation affected,URL alias,Menu link,Task Description,Feeds item,Active,Comments,Contact,Data Update Responsibility,Dataset Based on,Dataset License,Dataset Extent,Dataset Review Period,Dataset Type,Deliverable,Dependants,Downloadable,ECHOES Classification,ECHOES ID,id,Input Format,Inspire Theme,Layer,Lineage Statement,Mapping Service Format,Notes,Progress,Link to code repository using data,Required Data,Scale/Resolution,Schema,Source Providers,Spatial Reference System,Store,Table,Tag(s),Time Period,Type,Update Frequency,Viewable,Web Service URL,WorkSpace
25,71ce3f81-c414-42c7-b4fe-37a1f48e63e8,80,en,dataset,1600873897,1,,,,Species Tracking Records,1600858778,1607337314,,,1,1,1,/dataset/species-tracking-records,,"Spatial Analyses of tracking data performed as required by WP 3, 5, 6",2,1,,,37,,,,25,22,12,"WP3, WP5, WP6",1,38,5,,45,40,,"Spatial analyses of tracking data performed as required by WP3,5,6",47,,110,,Raw Data,"1:62,141",,37,42,,,,Ongoing,53,25,1,,
24,fad20272-b6c8-423b-a8cc-2cb7a4ac22a4,81,en,dataset,1600873883,1,,,,Species Vegetation Records,1600858778,1607337314,,,1,1,1,/dataset/species-vegetation-records,,"First- second- and third-winter vegetation sampling performed, data digitised and passed to WP3&5 teams",2,1,,,37,,,,25,22,11,"WP3, WP5",1,38,4,,44,40,,"First- second- and third-winter vegetation sampling performed, data digitised and passed to WP3&5 teams",47,,110,,Raw Data,"1:62,141",,37,42,,,,Ongoing,53,25,1,,
22,f829e4e5-4fcc-483f-a017-98cdb2c2308c,82,en,dataset,1600873859,1,,,,Species Abundance Areas,1600858778,1607337314,,,1,1,1,/dataset/species-abundance-areas,,Habitat affinity of GWf goose and Curlew determined from refined analysis of aggregated point records of target bird species and habitats associations from finer resolution habitat and vegetation data,2,1,,,37,,,,24,21,9,,1,38,2,,39,40,,General Linear Mixed Models will be employed to determine broad habitat associations,41,,110,,D3.1,10 metres,,37,42,,,,Ongoing,53,24,1,,
34,c17e0b5f-c75e-485d-8be5-12edfd520ac2,102,en,dataset,1603707075,14,,,1,Example Data Set,1601291712,1607337314,,,1,1,1,/dataset/example-data-set,,"<p>Climate data for the years 2000 to 2009 for Wales</p>
",,,2,44,37,27,,"MULTIPOLYGON (((-4.217043 52.986432, -4.041595 52.987229, -4.004519 52.888473, -4.239885 52.879084, -4.217043 52.986432)), ((-3.872681 52.961103, -3.872681 53.083357, -3.592529 53.083357, -3.592529 52.961103, -3.872681 52.961103)))",24,21,11,None,,49,14,,52,50,exampleDataSet,"<p>Data downloaded from https://example.com/datasets in October 2020. Data was processed using Python to change the data format.</p>
",47,Test example dataset progress,,http://github.com/gsdowd/testdata,D3.1,0.736111111,104,37,42,107,exampleDataSet,91|90,2000-2009,54,25,1,,106
67,f8b91a5e-be41-42da-a366-afb77dbb8f76,138,en,dataset,1646840900,82,,1,82,GBR BGS 1:625k Bedrock Lithology,1646840900,1687434067,,,1,1,1,/dataset/gbr-bgs-1625k-bedrock-lithology,,"<p>Metadata link:&nbsp;<a href=""https://metadata.bgs.ac.uk/geonetwork/srv/eng/catalog.search#/metadata/9df8df52-d788-37a8-e044-0003ba9b0d98"">https://metadata.bgs.ac.uk/geonetwork/srv/eng/catalog.search#/metadata/9df8df52-d788-37a8-e044-0003ba9b0d98</a></p>

<p>Data identifying landscape areas (shown as polygons) attributed with geological names. The scale of the data is 1:625 000 providing a simplified interpretation of the geology and may be used as a guide at a regional or national level, but should not be relied on for local geology. Onshore coverage is provided for all of England, Wales, Scotland, the Isle of Man and Northern Ireland. Data are supplied as four themes: bedrock, superficial deposits, dykes and linear features (faults). Bedrock geology describes the main mass of solid rocks forming the earth's crust. Bedrock is present everywhere, whether exposed at surface in outcrops or concealed beneath superficial deposits or water bodies. Geological names are based on the lithostratigraphic or lithodemic hierarchy of the rocks. The lithostratigraphic scheme arranges rock bodies into units based on rock-type and geological time of formation. Where rock-types do not fit into the lithostratigraphic scheme, for example intrusive, deformed rocks subjected to heat and pressure resulting in new or changed rock types; then their classification is based on their rock-type or lithological composition. This assesses visible features such as texture, structure, mineralogy. Superficial deposits are younger geological deposits formed during the most recent geological time; the Quaternary. These deposits rest on older rocks or deposits referred to as bedrock. The superficial deposits theme defines landscape areas (shown as polygons) attributed with a geological name and their deposit-type or lithological composition. The dykes theme defines small, narrow areas (shown as polygons) of a specific type of bedrock geology; that is igneous rocks which have been intruded into the landscape at a later date than the surrounding bedrock. They are presented as an optional, separate theme in order to provide additional clarity of the bedrock theme. The bedrock and dykes themes are designed to be used together. Linear features data (shown as polylines) represents geological faults at the ground or bedrock surface (beneath superficial deposits). Geological faults occur where a body of bedrock has been fractured and displaced by large scale processes affecting the earth's crust (tectonic forces). The faults theme defines geological faults (shown as polylines) at the ground or bedrock surface (beneath superficial deposits). All four data themes are available in vector format (containing the geometry of each feature linked to a database record describing their attributes) as ESRI shapefiles and are delivered free of charge under the terms of the Open Government Licence.</p>
",,1,2,,114,,113,,,22,86,,,,34,,46,68,,"<p>A new 1:625 000 scale (5th edition) printed geological map of the United Kingdom, published in 2007, was prepared digitally and these data were then used to create the replacement DiGMapGB-625 Bedrock Version 5. The 1:625 000 Bedrock data were created from two main sources. The geology for England &amp; Wales, Scotland and the Isle of Man is generalised directly from the 1:50 000 scale DiGMapGB-50 V3 data released in 2006 with ongoing revisions through to 2007 incorporating selective interpretations from new 50k maps, anticipating their release as V5 tiles in 2008. The data for Northern Ireland were derived by minor simplification from the 1:250 000 scale geological map of Northern Ireland, published in 2007. Holes in the 50k data were filled using information from other sources. The version 5 data of the 1: 625 000 dykes data was created primarily from the 1:50 000 scale Digital Geological Map of Great Britain (DiGMapGB-50) version 3 dataset (released in 2006) by generalisation involving cartographic selection, modification, simplification or exaggeration and matches that shown on the BGS poster maps of the UK (North and South) published in 2008. The attributes and nomenclature used follow those on the printed maps. The version 5 data of the 1: 625 000 linear features data was created primarily from the 1:50 000 scale Digital Geological Map of Great Britain (DiGMapGB-50) version 3 dataset (released in 2006) by generalisation involving cartographic selection, modification, simplification or exaggeration and matches that shown on the BGS poster maps of the UK (North and South) published in 2008. The attributes and nomenclature used follow those on the printed maps. The linear features were fitted to a relevant topographic base at the time of production. The 1:625 000 Superficial data were compiled from two main sources: the latest available 1:50 000 data (together with other information used to fill in the ‘holes’) and the 1:250 000 published Quaternary map of Northern Ireland.</p>
",41,,,,,1:625000,104,114,,,,90,2008,54,,1,http://ogc.bgs.ac.uk/cgi-bin/BGS_Bedrock_and_Superficial_Geology/wms,
68,4d5c6c8d-5fd6-41d4-99f6-2e9e1e4a4f4a,139,en,dataset,1646841991,82,,1,82,GBR BGS Parent Material Soil group 1km,1646841991,1687434067,,,1,1,1,/dataset/gbr-bgs-parent-material-soil-group-1km,,"<p>Metadata link:&nbsp;<a href=""https://metadata.bgs.ac.uk/geonetwork/srv/eng/catalog.search#/metadata/c42c40be-da99-45ce-e044-0003ba9b0d98"">https://metadata.bgs.ac.uk/geonetwork/srv/eng/catalog.search#/metadata/c42c40be-da99-45ce-e044-0003ba9b0d98</a></p>

<p>The simplified texture classifications are derived from measured soil textures (%clay, %silt and %sand) taken from archive GBASE and geotechnical samples held by BGS. The samples are compared with a simplified soil-texture triangle used for mySOIL and are grouped by their underlying soil-parent material type to show a map of distribution of the classes; expert judgment has been used to estimate a texture class where sample data is not available). Note that the map uses terms that refer to: Sandy soils, Silty soils, Clayey soils and Loamy soils with additional indicators for the presence of Chalk fragments (Chalky) and Peat (Peaty). Most parent materials generate a broad range of soil textures so these terms should be regarded as 'indicative'. Further information is available from the mySOIL resource page. The GBASE laser granulometry dataset (used in this map later) is also available in the UKSO map viewer.</p>
",,1,2,,114,,113,,,22,86,,,,35,,46,68,,,41,,,,,1:50000,,114,42,,,90,2012,54,,1,https://map.bgs.ac.uk/arcgis/rest/services/UKSO/UKSO_BGS/MapServer/WMSServer,
72,c7a9e3e3-7d4e-4310-acbc-d2cf6709aa26,143,en,dataset,1646844762,82,,1,82,WFD Groundwater bodies Cycle 2,1646844762,1687434067,,,1,1,1,/dataset/wfd-groundwater-bodies-cycle-2,,"<p>Metadata link:&nbsp;<a href=""https://libcat.naturalresources.wales/folio/?oid=116792"">https://libcat.naturalresources.wales/folio/?oid=116792</a></p>

<p>Water Framework Directive (WFD) Groundwaterbodies Cycle 2 (2014-2019) is a spatial (polygon) dataset which has been created for the implementation of the Water Framework Directive (WFD). Article 2, clause 2 of the WFD defines them as '…all water which is below the surface of the ground in the saturation zone and in direct contact with the ground or subsoil'. For the purposes of reporting under the WFD a groundwater body represent a distinct body of groundwater flow with a coherent flow unit including recharge and discharge areas with little flow across the boundaries. These reflect hydrogeological characteristics containing information on flow and stage properties, recharge and vulnerability to pollution. This has been undertaken through defining aquifers into different types and broken into catchment units at Catchment Abstraction Management Strategy (CAMS) scale.</p>
",,1,2,,,,113,,,22,86,,,,39,,46,58,,"<p>The primary input dataset is '1:625K Classified Aquifer Geology'. This dataset has been digitised directly from the hard copy '1:250K Solid Geology Map' and classified according to aquifer type and are therefore directly derived from the underlying BGS data. These classifications were verified by the British Geology Survey (BGS). These data have gone out for consultation at Area level and in some instances 1:50K Solid Geology has been used to define localised boundaries. Since waterbodies are attributed with a unique identifier 'WB_ID' this dataset can be linked directly to other WFD data sources such as physical characteristics, risk, classification and proposed objectives.</p>
",41,,,,,1:250000,,100,89,,,90,2014-2021,54,,1,http://lle.gov.wales/services/wms/nrw,
73,25955e8f-8e85-4fb8-b4a9-1a4f28c6e328,144,en,dataset,1646845013,82,,1,82,WFD Coastal Waterbodies Cycle 2,1646845013,1687434067,,,1,1,1,/dataset/wfd-coastal-waterbodies-cycle-2,,"<p>Metadata link:&nbsp;<a href=""https://libcat.naturalresources.wales/folio/?oid=116271"">https://libcat.naturalresources.wales/folio/?oid=116271</a></p>

<p>Water Framework Directive (WFD) Coastal Waterbodies is a polygon Shapefile dataset containing attributes that have been collated as defined for the implementation of the Water Framework Directive (WFD). Article 2, clause 7 of the WFD defines coastal waterbodies as '...a surface water on the landward side of a line, every point of which is at a distance of one nautical mile on the seaward side from the nearest point of the baseline from which the breadth of territorial waters is measured, extending where appropriate up to the outer limit of transitional waters'. Coastal waters were defined by territorial waters 1 nautical mile from the Mean High Water coastline taken directly from OS 1:50K MeridianTM 2. The delineation between coastal and estuarine waters was delineated by the Environment Agency defined transitional waterbodies. Waterbodies are also split and assigned to River Basin Districts. Since waterbodies are attributed with a unique identifier 'EA_WB_ID' this dataset can be linked directly to other WFD data sources such as physical characteristics, risk, classification and proposed objectives. This dataset covers the layer for Cycle 2 of the Water framework Directive.</p>
",,1,2,,,,113,,,22,86,,,,40,,46,58,,"<p>This was created from originally from OS data and territorial waters data as described in the abstract. The Cycle 2 version represents a minor update of the cycle 1 dataset.</p>
",41,,,,,1:50000,,100,89,,,90,2013-2015,54,,1,http://lle.gov.wales/services/wms/nrw,
74,59639021-5627-42e3-a0e0-e8c08deb0248,145,en,dataset,1646845596,82,,1,82,Sites of Special Scientific Interest (SSSI),1646845596,1687434067,,,1,1,1,/dataset/sites-special-scientific-interest-sssi,,"<p>Metadata link:&nbsp;<a href=""https://libcat.naturalresources.wales/folio/?oid=98776"">https://libcat.naturalresources.wales/folio/?oid=98776</a></p>

<p>This spatial dataset contains the digital boundaries of Sites of Special Scientific Interest (SSSIs) in Wales. SSSIs cover a wide range of habitats from small fens, bogs and riverside meadows to sand-dunes, woodlands and vast tracts of uplands. Most are in private ownership, although some are owned and managed by local wildlife trusts, or other voluntary conservation bodies. Notification of an SSSI under the Wildlife and Countryside Act 1981 has since been amended by the Countryside and Rights of Way Act 2001, which brought about numerous changes in the way SSSI are notified managed and protected. In order to ensure consistent, favourable long-term management of these sites, Natural Resources Wales (NRW) with landowners have prepared management plans for all SSSI in Wales. Local planning authorities are required to consult NRW before allowing any development to proceed that may affect an SSSI. Water, gas and electricity companies must also do the same. SSSIs have been designated, from 1949 to the present day, and are on-going. The data has been held digitally since the mid-1990s. This data has been checked by relevant NRW staff. Please refer to the designation map as the legal definitive boundary. For large SSSIs that were captured digitally and have been printed on a smaller scale map than OS MasterMap, please refer to the OS MasterMap edition at time of capture to view the definitive boundary.</p>
",,1,2,,,,,,,22,86,,,,41,,46,51,,,41,,,,,,,,89,,,90,1992-2021,54,,1,,
75,87d0e609-df99-481c-b3eb-113001103781,146,en,dataset,1646846267,82,,1,82,Special Protection Areas (SPA) - Wales,1646846267,1687434067,,,1,1,1,/dataset/special-protection-areas-spa-wales,,"<p>Metadata link:&nbsp;<a href=""https://libcat.naturalresources.wales/folio/?oid=98775"">https://libcat.naturalresources.wales/folio/?oid=98775</a></p>

<p>This spatial dataset contains the digital boundaries of all Spatial Protection Areas (SPAs) in Wales. The EC Birds Directive of 1979 requires member states to establish SPAs to conserve the habitats of two categories of birds:<br />
i) Species which are rare or vulnerable, of which there are forty-eight in the UK.<br />
ii) Some migratory species which visit our shores regularly.<br />
SPAs in Wales are identified by NRW, in conjunction with the UK Joint Nature Conservation Committee, and designated by the First Minister for the Welsh Assembly Government. These sites are also protected through being Sites of Special Scientific Interest (SSSIs). The 1994 Conservation Regulations also provide a means of protecting such areas at sea. SPAs together with SACs will contribute to a European Union network of protected sites to be known as 'Natura 2000' (N2K sites). SPAs have been designated over a number of years, from 1982 to the present day, and are on-going. The data has been held digitally since the mid1990s.</p>
",,1,2,,,,113,,,22,86,,,,42,,46,80,,"<p>All SPAs designated before the advent of GIS technology have been converted into digital data from paper maps of various scales. In 2008 the whole dataset was updated to OS MasterMap (to CCW 2006 OS update). This update made reference back to original designation maps and all notational descriptions on these maps e.g. boundary follows Mean High Water Mark and is liable to change. All new or re-designated sites will be put to the latest release by NRW, of OS MasterMap. With the coming of GIS and its use in government departments and commercial companies mobilising the data in this way, advances the protection of these sites and the efficiency of decision making. This data has been checked by relevant NRW staff. However please refer to the designation map as the legal definitive boundary. For recent, large SPAs that were captured digitally and have been printed on a smaller scale map than OS MasterMap, please refer to OSMasterMap edition at time of capture to view the definitive boundary. Marine SPAs will be the exception as they are shown against Marine Charts, so please refer to description for definitive boundary out to sea.</p>
",41,,,,,,,100,89,,,90,2000-2016,54,,1,http://lle.gov.wales/services/wms/nrw,
76,2424301c-0c28-4d76-a2c1-271963a943bc,147,en,dataset,1646846554,82,,1,82,Special Areas of Conservation (SAC) - Wales,1646846554,1687434067,,,1,1,1,/dataset/special-areas-conservation-sac-wales,,"<p>Metadata link:&nbsp;https://libcat.naturalresources.wales/folio/?oid=98766</p>

<p>This spatial dataset contains digital boundaries of Special Areas of Conservation (SACs) in Wales. The EC Habitats and Species Directive came into effect in 1992 with the aim of maintaining a rich variety of wildlife by protecting vulnerable habitats, and the plants and animals they support. The Habitat Directive together with the 1979 Birds Directive will lead to the establishment of a series of sites throughout Europe that will be known as 'Natura 2000'. This represents the cream of European sites and will ensure their survival for future generations. SACs have been designated over a number of years, from 1993 to the present day, and are on-going. These sites have been mapped on paper since the mid 1990s and then there was a major review from 2000 with the 'SAC Moderation Project' when the data was captured digitally for the first time.</p>
",,1,2,,100,,113,,,22,86,,,,43,,46,80,,"<p>In 2005 all SACs were re-designated/designated and the number of sites doubled in Wales, so this entire dataset originated as digital data to OS Landline. In 2008 the whole dataset was updated to OS MasterMap (mostly to CCW 2006 OS update). If any underpinning Sites of Scientific Interest (SSSIs) are re-notified the overlying SAC designation will likewise be put to the latest release by NRW of OS MasterMap. With the coming of GIS and its use in government departments and commercial companies mobilising the data in this way, advances the protection of these sites and the efficiency of decision making. This data has been checked by NRW staff. However please refer to the designation map as the legal definitive boundary. Large SACs that have been printed on a smaller scale map than OS Landline, please refer to OS MasterMap edition at time of transposition to view the definitive boundary.</p>
",41,,,,,,,100,89,,,90,2000-2019,54,,1,http://lle.gov.wales/services/wms/nrw,
77,c56ff911-1553-4a62-b16e-f5ab06d1017a,148,en,dataset,1646847207,82,,1,82,Main Rivers,1646847207,1687434067,,,1,1,1,/dataset/main-rivers,,"<p>Metadata link:&nbsp;<a href=""https://libcat.naturalresources.wales/folio/?oid=119161"">https://libcat.naturalresources.wales/folio/?oid=119161</a></p>

<p>The statutory main river map is a 1:10,000 scale spatial (polyline) dataset that defines statutory watercourses designated by Natural Resources Wales as main rivers. The data is for Wales only. 'Main rivers' are usually larger streams and rivers, but some of them are small watercourses of significance. They include certain structures that control or regulate the flow of water in, into or out of the channel.</p>
",,1,2,,100,,113,,,22,86,,,,44,,45,71,,"<p>Natural Resources Wales has permissive powers, but not a duty, to carry out maintenance, improvement or construction work on designated main rivers. Natural Resources Wales has powers to regulate the activities of others affecting rivers and their flood plains under the Environmental Permitting Regulations, the Water Resources Act 1991 and our land drainage byelaws. All other watercourses are 'ordinary watercourses'. On these watercourses the Lead Local flood Authority or, if within an Internal Drainage District, the Internal Drainage Board have similar permissive powers to maintain and improve. They also have powers to regulate works under the provisions of the Land Drainage Act 1991 and local byelaws. Natural Resources Wales undertakes the role of the Internal Drainage Board in Wales for all Internal Drainage Districts.</p>
",41,,,,,1:10000,,100,89,,,90,2005,54,,1,http://lle.gov.wales/services/wms/nrw,
78,d38953f6-84bf-438a-8317-f88ea35fa82b,149,en,dataset,1646847588,82,,1,82,RAMSAR Sites - Wales,1646847588,1687434067,,,1,1,1,/dataset/ramsar-sites-wales,,"<p>Metadata link:&nbsp;<a href=""https://libcat.naturalresources.wales/folio/?oid=98759"">https://libcat.naturalresources.wales/folio/?oid=98759</a></p>

<p>The Convention on Wetlands, called the Ramsar Convention, is an intergovernmental treaty that provides the framework for national action and international cooperation for the conservation and wise use of wetlands and their resources. This spatial dataset contains the digital boundaries of Ramsar sites in Wales. In ratifying the Convention in 1976, the UK government accepted a commitment to promote the conservation of internationally important wetland sites within its territories. Wetlands are vital for many types of birds particularly waterfowl and Wales have some prime sites that are essential to the survival of many wetland plants and animals. Wetland sites can be areas of marsh, fen, peatland or open water; natural or artificial; permanent or temporary; with water that is fresh, brackish or salty. They can also include shallow areas of sea. All Ramsar sites are also Sites of Special Scientific Interest (SSSI). Wetlands of International Importance are identified by Natural Resources Wales (NRW), in collaboration with the UK Joint Nature Conservation Committee (JNCC), and designated by the First Minister for the National Assembly for Wales. The Ramsars have been designated over a number of years, from 1976 to the present day, and are on-going. The data has been held digitally since mid1990s. The boundaries have been checked by NRW staff. Due to scale enlargement and different editions of map a certain degree of interpretation was required.</p>
",,1,2,,100,,113,,,22,86,,,,45,,46,80,,"<p>Originally produced as paper maps but with the progress to GIS later designations produced directly from digital capture. The data was derived from the designation paper maps that vary in scale from 1:50,000, 1:25,000 and 1:10,000. The present data is digitised to OS MasterMap. With the coming of GIS and its use in government departments and commercial companies mobilising the data in this way, advances the protection of these sites and the efficiency of decision making.</p>
",41,,,,,1:10000,,100,89,,,90,1976-2022,54,,1,http://lle.gov.wales/services/wms/nrw,
79,6d7fee2a-d9fc-4181-8986-d1c3b6bbab26,150,en,dataset,1646908542,82,,1,82,RAMSAR Sites - Ireland,1646908542,1687434067,,,1,1,1,/dataset/ramsar-sites-ireland,,"<p>Metadata link:&nbsp;<a href=""https://gis.epa.ie/geonetwork/srv/eng/catalog.search#/metadata/4d259989-5cbc-4b29-9003-b05e0c74c219"">https://gis.epa.ie/geonetwork/srv/eng/catalog.search#/metadata/4d259989-5cbc-4b29-9003-b05e0c74c219</a></p>

<p>The dataset represents the areas protected under the Ramsar Convention on Wetlands and relevant information about them. The points were compiled from SACs, SPAs, and NHAs, and therefore provide only a general indication of Ramsar areas.</p>
",,1,2,,103,,97,,,22,86,,,,46,,44,80,,"<p>Author: Coastal and Marine Resources Centre, Naval Base, Haulbowline, Cobh, Co. Cork.</p>
",41,,,,,,,103,102,,,91,2004,54,,1,https://gis.epa.ie/geoserver/EPA/wms,
80,6f3b1ddf-6633-4d64-96ce-94bf120391a3,151,en,dataset,1646910064,82,,1,82,Special Protection Areas (SPA) - Ireland,1646910064,1687434067,,,1,1,1,/dataset/special-protection-areas-spa-ireland,,"<p>Metadata link:&nbsp;<a href=""https://gis.epa.ie/geonetwork/srv/eng/catalog.search#/metadata/ea0c4c1a-41d9-4862-b28a-4f54be6e543a"">https://gis.epa.ie/geonetwork/srv/eng/catalog.search#/metadata/ea0c4c1a-41d9-4862-b28a-4f54be6e543a</a></p>

<p>The EU Birds Directive (79/409/EEC) requires designation of SPAs for: listed rare and vulnerable species; regularly occurring migratory species, such as ducks, geese and waders; wetlands, especially those of international importance, which attract large numbers of migratory birds each year. (Internationally important means that 1% of the population of a species uses the site, or more than 20,000 birds regularly use the site.) This is a national dataset.</p>
",,1,2,,103,,97,,,22,86,,,,47,,46,80,,"<p>This spatial dataset and associated web services is currently presented in Irish Transverse Mercator projection. The majority of site boundaries were originally digitised from Ordnance Survey of Ireland 1:10560 six-inch raster data in Irish Grid. Over time an increasing number of site boundaries in this dataset will be replotted to Ordnance Survey of Ireland 1:5000 vector mapping in Irish Transverse Mercator. The spatial dataset and associated web services contain two feature level metadata fields: SOURCE_SCALE AND SOURCE_CRS to identify the source scale and projection that the site boundary feature is derived from.</p>
",41,,,,,1:50000,,103,102,,,91,1980-2014,54,,1,https://gis.epa.ie/geoserver/EPA/wms,
